,frame,label,trackId,x,y,sceneId,metaId
220,frame115.jpg,handle,1,650.0,609.0,0612-06122020111120-0000,0
225,frame120.jpg,middle,1,674.5,718.5,0612-06122020111120-0000,0
230,frame320.jpg,middle,1,664.0,702.5,0612-06122020111120-0000,0
235,frame325.jpg,head,1,645.5,809.5,0612-06122020111120-0000,0
240,frame330.jpg,head,1,627.0,808.5,0612-06122020111120-0000,0
245,frame335.jpg,head,1,609.5,806.5,0612-06122020111120-0000,0
250,frame340.jpg,head,1,595.0,803.5,0612-06122020111120-0000,0
255,frame345.jpg,head,1,585.5,803.0,0612-06122020111120-0000,0
260,frame350.jpg,handle,1,626.5,591.5,0612-06122020111120-0000,0
265,frame355.jpg,handle,1,623.5,591.5,0612-06122020111120-0000,0
270,frame1.jpg,handle,1,609.5,602.5,0612-06122020111120-0000,0
275,frame11.jpg,handle,1,599.0,600.5,0612-06122020111120-0000,0
280,frame21.jpg,handle,1,586.5,594.5,0612-06122020111120-0000,0
285,frame30.jpg,handle,1,574.5,589.5,0612-06122020111120-0000,0
290,frame35.jpg,handle,1,566.5,585.0,0612-06122020111120-0000,0
295,frame40.jpg,handle,1,560.0,580.0,0612-06122020111120-0000,0
300,frame45.jpg,handle,1,554.5,575.0,0612-06122020111120-0000,0
305,frame51.jpg,handle,1,549.0,569.5,0612-06122020111120-0000,0
310,frame61.jpg,handle,1,544.0,562.5,0612-06122020111120-0000,0
315,frame70.jpg,handle,1,542.5,561.0,0612-06122020111120-0000,0
320,frame80.jpg,handle,1,549.5,563.5,0612-06122020111120-0000,0
325,frame85.jpg,handle,1,554.5,569.0,0612-06122020111120-0000,0
330,frame90.jpg,handle,1,562.0,575.0,0612-06122020111120-0000,0
335,frame95.jpg,handle,1,572.5,581.5,0612-06122020111120-0000,0
340,frame100.jpg,handle,1,584.5,591.0,0612-06122020111120-0000,0
345,frame105.jpg,handle,1,602.5,604.5,0612-06122020111120-0000,0
350,frame110.jpg,handle,1,626.0,611.0,0612-06122020111120-0000,0
355,frame115.jpg,middle,1,613.0,716.0,0612-06122020111120-0000,0
360,frame120.jpg,head,1,676.5,825.5,0612-06122020111120-0000,0
365,frame320.jpg,head,1,671.0,808.5,0612-06122020111120-0000,0
370,frame325.jpg,middle,1,649.5,704.5,0612-06122020111120-0000,0
375,frame330.jpg,middle,1,635.0,705.5,0612-06122020111120-0000,0
380,frame335.jpg,middle,1,625.5,704.5,0612-06122020111120-0000,0
385,frame340.jpg,middle,1,616.0,700.5,0612-06122020111120-0000,0
390,frame345.jpg,middle,1,609.5,700.0,0612-06122020111120-0000,0
395,frame350.jpg,middle,1,604.0,698.0,0612-06122020111120-0000,0
400,frame355.jpg,middle,1,597.5,698.5,0612-06122020111120-0000,0
405,frame0.jpg,head,2,551.0,820.0,0612-06122020111211-0000,1
410,frame10.jpg,head,2,509.0,811.0,0612-06122020111211-0000,1
415,frame19.jpg,head,2,465.0,794.0,0612-06122020111211-0000,1
420,frame24.jpg,head,2,443.5,779.5,0612-06122020111211-0000,1
425,frame29.jpg,head,2,420.5,763.0,0612-06122020111211-0000,1
430,frame34.jpg,head,2,402.5,743.5,0612-06122020111211-0000,1
435,frame39.jpg,head,2,384.5,723.0,0612-06122020111211-0000,1
440,frame44.jpg,head,2,369.5,703.0,0612-06122020111211-0000,1
445,frame49.jpg,head,2,357.5,682.5,0612-06122020111211-0000,1
450,frame54.jpg,head,2,348.0,661.5,0612-06122020111211-0000,1
455,frame59.jpg,head,2,342.0,643.0,0612-06122020111211-0000,1
460,frame64.jpg,head,2,338.0,626.0,0612-06122020111211-0000,1
465,frame69.jpg,head,2,336.0,612.5,0612-06122020111211-0000,1
470,frame78.jpg,head,2,335.0,596.0,0612-06122020111211-0000,1
475,frame84.jpg,head,2,337.5,591.0,0612-06122020111211-0000,1
480,frame89.jpg,head,2,337.5,592.5,0612-06122020111211-0000,1
485,frame94.jpg,head,2,342.5,596.5,0612-06122020111211-0000,1
490,frame99.jpg,head,2,347.0,608.5,0612-06122020111211-0000,1
495,frame104.jpg,head,2,353.0,626.5,0612-06122020111211-0000,1
500,frame109.jpg,head,2,360.5,651.5,0612-06122020111211-0000,1
505,frame114.jpg,head,2,379.0,685.5,0612-06122020111211-0000,1
510,frame119.jpg,head,2,409.5,729.0,0612-06122020111211-0000,1
515,frame124.jpg,head,2,464.0,777.0,0612-06122020111211-0000,1
520,frame129.jpg,head,2,545.5,816.5,0612-06122020111211-0000,1
525,frame134.jpg,handle,2,662.0,608.0,0612-06122020111211-0000,1
530,frame346.jpg,handle,2,663.0,588.5,0612-06122020111211-0000,1
535,frame351.jpg,handle,2,660.0,588.0,0612-06122020111211-0000,1
540,frame356.jpg,handle,2,655.0,587.5,0612-06122020111211-0000,1
545,frame2.jpg,middle,2,577.0,715.5,0612-06122020111211-0000,1
550,frame12.jpg,middle,2,551.5,707.0,0612-06122020111211-0000,1
555,frame20.jpg,middle,2,527.5,691.0,0612-06122020111211-0000,1
560,frame25.jpg,middle,2,510.5,691.0,0612-06122020111211-0000,1
565,frame30.jpg,middle,2,498.0,673.5,0612-06122020111211-0000,1
570,frame35.jpg,middle,2,481.0,669.5,0612-06122020111211-0000,1
575,frame40.jpg,middle,2,474.0,656.5,0612-06122020111211-0000,1
580,frame45.jpg,middle,2,460.5,645.5,0612-06122020111211-0000,1
585,frame50.jpg,middle,2,453.5,632.0,0612-06122020111211-0000,1
590,frame55.jpg,middle,2,450.0,620.0,0612-06122020111211-0000,1
595,frame60.jpg,middle,2,442.0,610.5,0612-06122020111211-0000,1
600,frame65.jpg,middle,2,439.0,600.0,0612-06122020111211-0000,1
605,frame70.jpg,middle,2,437.0,592.0,0612-06122020111211-0000,1
610,frame80.jpg,middle,2,436.0,582.5,0612-06122020111211-0000,1
615,frame85.jpg,middle,2,434.5,582.0,0612-06122020111211-0000,1
620,frame90.jpg,middle,2,439.0,583.0,0612-06122020111211-0000,1
625,frame95.jpg,middle,2,441.5,588.0,0612-06122020111211-0000,1
630,frame100.jpg,middle,2,448.0,598.0,0612-06122020111211-0000,1
635,frame105.jpg,middle,2,454.0,608.0,0612-06122020111211-0000,1
640,frame110.jpg,middle,2,464.0,627.0,0612-06122020111211-0000,1
645,frame115.jpg,middle,2,483.0,648.0,0612-06122020111211-0000,1
650,frame120.jpg,middle,2,507.5,678.0,0612-06122020111211-0000,1
655,frame125.jpg,middle,2,549.5,705.5,0612-06122020111211-0000,1
660,frame130.jpg,handle,2,645.0,610.0,0612-06122020111211-0000,1
665,frame342.jpg,middle,2,680.0,701.5,0612-06122020111211-0000,1
670,frame347.jpg,middle,2,671.5,698.0,0612-06122020111211-0000,1
675,frame352.jpg,middle,2,663.0,703.5,0612-06122020111211-0000,1
680,frame357.jpg,middle,2,655.0,698.5,0612-06122020111211-0000,1
685,frame4.jpg,handle,2,606.5,605.0,0612-06122020111211-0000,1
690,frame14.jpg,handle,2,599.0,603.0,0612-06122020111211-0000,1
695,frame21.jpg,handle,2,590.5,599.5,0612-06122020111211-0000,1
700,frame26.jpg,handle,2,585.0,597.5,0612-06122020111211-0000,1
705,frame31.jpg,handle,2,578.0,594.5,0612-06122020111211-0000,1
710,frame36.jpg,handle,2,571.0,591.5,0612-06122020111211-0000,1
715,frame41.jpg,handle,2,565.5,587.5,0612-06122020111211-0000,1
720,frame46.jpg,handle,2,560.0,582.5,0612-06122020111211-0000,1
725,frame51.jpg,handle,2,555.0,578.0,0612-06122020111211-0000,1
730,frame56.jpg,handle,2,550.0,575.0,0612-06122020111211-0000,1
735,frame61.jpg,handle,2,546.5,570.5,0612-06122020111211-0000,1
740,frame66.jpg,handle,2,543.5,566.5,0612-06122020111211-0000,1
745,frame72.jpg,handle,2,540.5,564.0,0612-06122020111211-0000,1
750,frame81.jpg,handle,2,540.0,562.0,0612-06122020111211-0000,1
755,frame86.jpg,handle,2,541.0,563.5,0612-06122020111211-0000,1
760,frame91.jpg,handle,2,543.5,565.0,0612-06122020111211-0000,1
765,frame96.jpg,handle,2,548.0,568.0,0612-06122020111211-0000,1
770,frame101.jpg,handle,2,552.0,572.5,0612-06122020111211-0000,1
775,frame106.jpg,handle,2,559.5,580.0,0612-06122020111211-0000,1
780,frame111.jpg,handle,2,570.0,587.0,0612-06122020111211-0000,1
785,frame116.jpg,handle,2,584.0,596.0,0612-06122020111211-0000,1
790,frame121.jpg,handle,2,601.5,607.0,0612-06122020111211-0000,1
795,frame126.jpg,handle,2,624.5,613.0,0612-06122020111211-0000,1
800,frame131.jpg,middle,2,620.0,722.5,0612-06122020111211-0000,1
805,frame343.jpg,head,2,692.5,806.5,0612-06122020111211-0000,1
810,frame348.jpg,head,2,677.0,805.5,0612-06122020111211-0000,1
815,frame353.jpg,head,2,665.0,803.5,0612-06122020111211-0000,1
820,frame358.jpg,middle,2,654.5,699.0,0612-06122020111211-0000,1
822,frame64.jpg,head,3,582.0,849.0,0612-06122020111257-0000,2
827,frame74.jpg,head,3,571.0,850.5,0612-06122020111257-0000,2
832,frame81.jpg,head,3,557.0,853.0,0612-06122020111257-0000,2
837,frame86.jpg,head,3,544.0,851.0,0612-06122020111257-0000,2
842,frame91.jpg,head,3,528.0,852.5,0612-06122020111257-0000,2
847,frame96.jpg,head,3,508.5,847.5,0612-06122020111257-0000,2
852,frame101.jpg,head,3,488.5,842.0,0612-06122020111257-0000,2
857,frame106.jpg,head,3,465.0,834.5,0612-06122020111257-0000,2
862,frame111.jpg,head,3,443.5,823.0,0612-06122020111257-0000,2
867,frame116.jpg,head,3,421.5,811.5,0612-06122020111257-0000,2
872,frame121.jpg,head,3,402.0,798.0,0612-06122020111257-0000,2
877,frame126.jpg,head,3,387.0,784.0,0612-06122020111257-0000,2
882,frame131.jpg,head,3,375.5,770.5,0612-06122020111257-0000,2
887,frame136.jpg,head,3,366.0,759.0,0612-06122020111257-0000,2
892,frame141.jpg,head,3,358.5,749.0,0612-06122020111257-0000,2
897,frame147.jpg,head,3,352.5,740.5,0612-06122020111257-0000,2
902,frame152.jpg,head,3,348.5,733.5,0612-06122020111257-0000,2
907,frame157.jpg,head,3,345.0,728.5,0612-06122020111257-0000,2
912,frame162.jpg,head,3,341.0,723.0,0612-06122020111257-0000,2
917,frame170.jpg,head,3,335.0,712.0,0612-06122020111257-0000,2
922,frame181.jpg,head,3,334.5,707.0,0612-06122020111257-0000,2
927,frame193.jpg,head,3,357.5,739.5,0612-06122020111257-0000,2
932,frame198.jpg,head,3,381.5,770.0,0612-06122020111257-0000,2
937,frame203.jpg,head,3,423.5,806.0,0612-06122020111257-0000,2
942,frame208.jpg,head,3,484.5,838.5,0612-06122020111257-0000,2
947,frame213.jpg,head,3,564.5,858.5,0612-06122020111257-0000,2
952,frame218.jpg,handle,3,630.0,612.0,0612-06122020111257-0000,2
957,frame223.jpg,handle,3,647.0,605.0,0612-06122020111257-0000,2
962,frame68.jpg,middle,3,591.0,731.5,0612-06122020111257-0000,2
967,frame78.jpg,middle,3,583.0,736.0,0612-06122020111257-0000,2
972,frame83.jpg,middle,3,576.0,732.5,0612-06122020111257-0000,2
977,frame88.jpg,middle,3,565.5,732.0,0612-06122020111257-0000,2
982,frame93.jpg,middle,3,557.5,730.0,0612-06122020111257-0000,2
987,frame98.jpg,middle,3,544.0,730.5,0612-06122020111257-0000,2
992,frame103.jpg,middle,3,531.0,726.5,0612-06122020111257-0000,2
997,frame108.jpg,middle,3,519.5,717.5,0612-06122020111257-0000,2
1002,frame113.jpg,middle,3,502.0,719.5,0612-06122020111257-0000,2
1007,frame118.jpg,middle,3,491.5,710.0,0612-06122020111257-0000,2
1012,frame123.jpg,middle,3,482.5,701.0,0612-06122020111257-0000,2
1017,frame128.jpg,middle,3,470.5,693.5,0612-06122020111257-0000,2
1022,frame133.jpg,middle,3,464.5,687.0,0612-06122020111257-0000,2
1027,frame138.jpg,middle,3,460.5,679.5,0612-06122020111257-0000,2
1032,frame143.jpg,middle,3,455.5,674.0,0612-06122020111257-0000,2
1037,frame149.jpg,middle,3,454.0,666.5,0612-06122020111257-0000,2
1042,frame154.jpg,middle,3,447.0,664.0,0612-06122020111257-0000,2
1047,frame159.jpg,middle,3,443.5,663.0,0612-06122020111257-0000,2
1052,frame164.jpg,middle,3,439.0,660.5,0612-06122020111257-0000,2
1057,frame174.jpg,middle,3,438.5,653.0,0612-06122020111257-0000,2
1062,frame186.jpg,middle,3,446.0,660.0,0612-06122020111257-0000,2
1067,frame195.jpg,middle,3,467.0,682.0,0612-06122020111257-0000,2
1072,frame200.jpg,middle,3,490.5,699.0,0612-06122020111257-0000,2
1077,frame205.jpg,middle,3,517.5,719.5,0612-06122020111257-0000,2
1082,frame210.jpg,middle,3,560.0,734.0,0612-06122020111257-0000,2
1087,frame215.jpg,head,3,600.0,854.5,0612-06122020111257-0000,2
1092,frame220.jpg,middle,3,659.0,733.0,0612-06122020111257-0000,2
1097,frame225.jpg,middle,3,704.5,709.5,0612-06122020111257-0000,2
1102,frame72.jpg,handle,3,602.0,609.5,0612-06122020111257-0000,2
1107,frame80.jpg,handle,3,600.0,611.0,0612-06122020111257-0000,2
1112,frame85.jpg,handle,3,598.0,611.0,0612-06122020111257-0000,2
1117,frame90.jpg,handle,3,594.5,611.5,0612-06122020111257-0000,2
1122,frame95.jpg,handle,3,590.5,611.0,0612-06122020111257-0000,2
1127,frame100.jpg,handle,3,588.5,609.5,0612-06122020111257-0000,2
1132,frame105.jpg,handle,3,582.5,610.0,0612-06122020111257-0000,2
1137,frame110.jpg,handle,3,579.0,609.5,0612-06122020111257-0000,2
1142,frame115.jpg,handle,3,574.0,606.5,0612-06122020111257-0000,2
1147,frame120.jpg,handle,3,570.0,605.0,0612-06122020111257-0000,2
1152,frame125.jpg,handle,3,566.5,602.5,0612-06122020111257-0000,2
1157,frame130.jpg,handle,3,562.0,602.0,0612-06122020111257-0000,2
1162,frame135.jpg,handle,3,560.0,599.5,0612-06122020111257-0000,2
1167,frame140.jpg,handle,3,556.0,598.5,0612-06122020111257-0000,2
1172,frame146.jpg,handle,3,554.0,595.5,0612-06122020111257-0000,2
1177,frame151.jpg,handle,3,549.5,594.5,0612-06122020111257-0000,2
1182,frame156.jpg,handle,3,546.5,592.5,0612-06122020111257-0000,2
1187,frame161.jpg,handle,3,544.0,591.5,0612-06122020111257-0000,2
1192,frame167.jpg,handle,3,542.5,589.5,0612-06122020111257-0000,2
1197,frame179.jpg,handle,3,544.0,592.0,0612-06122020111257-0000,2
1202,frame191.jpg,handle,3,559.0,600.5,0612-06122020111257-0000,2
1207,frame197.jpg,handle,3,571.0,606.5,0612-06122020111257-0000,2
1212,frame202.jpg,handle,3,583.0,611.0,0612-06122020111257-0000,2
1217,frame207.jpg,handle,3,596.5,614.0,0612-06122020111257-0000,2
1222,frame212.jpg,handle,3,611.0,612.5,0612-06122020111257-0000,2
1227,frame217.jpg,head,3,631.5,855.5,0612-06122020111257-0000,2
1232,frame222.jpg,head,3,706.0,829.0,0612-06122020111257-0000,2
1236,frame1.jpg,head,4,493.0,839.0,0612-06122020111333-0000,3
1241,frame11.jpg,head,4,487.5,835.5,0612-06122020111333-0000,3
1246,frame21.jpg,head,4,490.0,836.0,0612-06122020111333-0000,3
1251,frame31.jpg,head,4,496.0,839.5,0612-06122020111333-0000,3
1256,frame41.jpg,head,4,507.0,842.0,0612-06122020111333-0000,3
1261,frame51.jpg,head,4,520.5,848.0,0612-06122020111333-0000,3
1266,frame61.jpg,head,4,536.0,849.0,0612-06122020111333-0000,3
1271,frame71.jpg,head,4,548.0,853.0,0612-06122020111333-0000,3
1276,frame81.jpg,head,4,560.0,853.5,0612-06122020111333-0000,3
1281,frame91.jpg,head,4,566.5,855.0,0612-06122020111333-0000,3
1286,frame101.jpg,head,4,569.0,854.5,0612-06122020111333-0000,3
1291,frame111.jpg,head,4,557.5,855.5,0612-06122020111333-0000,3
1296,frame121.jpg,head,4,526.5,852.0,0612-06122020111333-0000,3
1301,frame131.jpg,head,4,473.0,839.0,0612-06122020111333-0000,3
1306,frame141.jpg,head,4,404.5,805.0,0612-06122020111333-0000,3
1311,frame151.jpg,head,4,345.0,744.0,0612-06122020111333-0000,3
1316,frame161.jpg,head,4,311.0,671.5,0612-06122020111333-0000,3
1321,frame171.jpg,head,4,303.5,606.5,0612-06122020111333-0000,3
1326,frame181.jpg,head,4,310.5,561.0,0612-06122020111333-0000,3
1331,frame191.jpg,head,4,320.5,534.0,0612-06122020111333-0000,3
1336,frame201.jpg,head,4,325.5,523.0,0612-06122020111333-0000,3
1341,frame211.jpg,head,4,325.0,534.0,0612-06122020111333-0000,3
1346,frame221.jpg,head,4,323.0,571.0,0612-06122020111333-0000,3
1351,frame231.jpg,head,4,333.0,656.5,0612-06122020111333-0000,3
1356,frame241.jpg,head,4,422.0,795.5,0612-06122020111333-0000,3
1361,frame251.jpg,handle,4,653.5,617.0,0612-06122020111333-0000,3
1366,frame3.jpg,middle,4,541.0,730.0,0612-06122020111333-0000,3
1371,frame13.jpg,middle,4,541.0,725.0,0612-06122020111333-0000,3
1376,frame23.jpg,middle,4,541.5,728.5,0612-06122020111333-0000,3
1381,frame33.jpg,middle,4,546.5,729.5,0612-06122020111333-0000,3
1386,frame43.jpg,middle,4,551.0,729.5,0612-06122020111333-0000,3
1391,frame53.jpg,middle,4,560.0,730.5,0612-06122020111333-0000,3
1396,frame63.jpg,middle,4,569.0,735.0,0612-06122020111333-0000,3
1401,frame73.jpg,middle,4,577.5,737.0,0612-06122020111333-0000,3
1406,frame83.jpg,middle,4,583.5,734.5,0612-06122020111333-0000,3
1411,frame93.jpg,middle,4,586.5,739.0,0612-06122020111333-0000,3
1416,frame103.jpg,middle,4,586.5,737.5,0612-06122020111333-0000,3
1421,frame113.jpg,middle,4,577.0,738.0,0612-06122020111333-0000,3
1426,frame123.jpg,middle,4,553.5,734.5,0612-06122020111333-0000,3
1431,frame133.jpg,middle,4,517.5,722.5,0612-06122020111333-0000,3
1436,frame143.jpg,middle,4,472.5,699.0,0612-06122020111333-0000,3
1441,frame153.jpg,middle,4,438.0,661.0,0612-06122020111333-0000,3
1446,frame163.jpg,middle,4,422.5,618.5,0612-06122020111333-0000,3
1451,frame173.jpg,middle,4,410.0,584.0,0612-06122020111333-0000,3
1456,frame183.jpg,middle,4,410.5,557.5,0612-06122020111333-0000,3
1461,frame193.jpg,middle,4,415.0,545.0,0612-06122020111333-0000,3
1466,frame203.jpg,middle,4,418.0,540.0,0612-06122020111333-0000,3
1471,frame213.jpg,middle,4,423.5,553.5,0612-06122020111333-0000,3
1476,frame223.jpg,middle,4,429.5,584.0,0612-06122020111333-0000,3
1481,frame233.jpg,middle,4,449.5,645.0,0612-06122020111333-0000,3
1486,frame243.jpg,middle,4,536.5,724.5,0612-06122020111333-0000,3
1491,frame253.jpg,middle,4,668.0,735.5,0612-06122020111333-0000,3
1496,frame5.jpg,handle,4,593.5,611.5,0612-06122020111333-0000,3
1501,frame15.jpg,handle,4,593.5,611.5,0612-06122020111333-0000,3
1506,frame25.jpg,handle,4,594.0,610.0,0612-06122020111333-0000,3
1511,frame35.jpg,handle,4,595.0,611.5,0612-06122020111333-0000,3
1516,frame45.jpg,handle,4,595.5,611.5,0612-06122020111333-0000,3
1521,frame55.jpg,handle,4,598.0,611.0,0612-06122020111333-0000,3
1526,frame65.jpg,handle,4,600.5,611.0,0612-06122020111333-0000,3
1531,frame75.jpg,handle,4,602.0,611.0,0612-06122020111333-0000,3
1536,frame85.jpg,handle,4,604.5,611.5,0612-06122020111333-0000,3
1541,frame95.jpg,handle,4,605.5,611.0,0612-06122020111333-0000,3
1546,frame105.jpg,handle,4,605.0,611.5,0612-06122020111333-0000,3
1551,frame115.jpg,handle,4,599.5,611.5,0612-06122020111333-0000,3
1556,frame125.jpg,handle,4,587.0,610.0,0612-06122020111333-0000,3
1561,frame135.jpg,handle,4,572.0,604.5,0612-06122020111333-0000,3
1566,frame145.jpg,handle,4,555.0,597.0,0612-06122020111333-0000,3
1571,frame155.jpg,handle,4,538.0,585.5,0612-06122020111333-0000,3
1576,frame165.jpg,handle,4,525.5,573.0,0612-06122020111333-0000,3
1581,frame175.jpg,handle,4,517.0,561.0,0612-06122020111333-0000,3
1586,frame185.jpg,handle,4,513.5,553.0,0612-06122020111333-0000,3
1591,frame195.jpg,handle,4,513.5,550.5,0612-06122020111333-0000,3
1596,frame205.jpg,handle,4,517.5,551.5,0612-06122020111333-0000,3
1601,frame215.jpg,handle,4,525.0,561.0,0612-06122020111333-0000,3
1606,frame225.jpg,handle,4,541.0,576.5,0612-06122020111333-0000,3
1611,frame235.jpg,handle,4,571.5,605.0,0612-06122020111333-0000,3
1616,frame245.jpg,handle,4,623.0,621.0,0612-06122020111333-0000,3
1621,frame255.jpg,head,4,700.5,843.0,0612-06122020111333-0000,3
1623,frame109.jpg,handle,5,641.5,613.0,0612-06122020111532-0000,4
1628,frame119.jpg,head,5,597.5,855.5,0612-06122020111532-0000,4
1633,frame128.jpg,head,5,568.0,854.5,0612-06122020111532-0000,4
1638,frame138.jpg,head,5,512.5,845.5,0612-06122020111532-0000,4
1643,frame149.jpg,head,5,426.0,809.5,0612-06122020111532-0000,4
1648,frame158.jpg,head,5,353.0,739.5,0612-06122020111532-0000,4
1653,frame168.jpg,head,5,306.0,628.0,0612-06122020111532-0000,4
1658,frame179.jpg,head,5,315.0,504.5,0612-06122020111532-0000,4
1663,frame188.jpg,head,5,361.5,424.0,0612-06122020111532-0000,4
1668,frame198.jpg,head,5,438.0,359.0,0612-06122020111532-0000,4
1673,frame209.jpg,head,5,524.0,321.5,0612-06122020111532-0000,4
1678,frame219.jpg,head,5,599.5,312.5,0612-06122020111532-0000,4
1683,frame228.jpg,head,5,656.5,320.5,0612-06122020111532-0000,4
1688,frame239.jpg,head,5,708.0,344.0,0612-06122020111532-0000,4
1693,frame249.jpg,head,5,738.5,375.0,0612-06122020111532-0000,4
1698,frame258.jpg,handle,5,570.5,391.5,0612-06122020111532-0000,4
1703,frame269.jpg,handle,5,575.5,395.0,0612-06122020111532-0000,4
1708,frame277.jpg,handle,5,573.0,393.5,0612-06122020111532-0000,4
1713,frame282.jpg,handle,5,568.5,397.5,0612-06122020111532-0000,4
1718,frame287.jpg,handle,5,561.0,403.0,0612-06122020111532-0000,4
1723,frame292.jpg,head,5,728.0,392.5,0612-06122020111532-0000,4
1728,frame297.jpg,head,5,704.0,368.5,0612-06122020111532-0000,4
1733,frame302.jpg,head,5,654.0,344.0,0612-06122020111532-0000,4
1738,frame307.jpg,head,5,565.0,342.5,0612-06122020111532-0000,4
1743,frame312.jpg,head,5,442.0,415.5,0612-06122020111532-0000,4
1748,frame317.jpg,head,5,371.5,624.5,0612-06122020111532-0000,4
1753,frame322.jpg,head,5,593.5,852.5,0612-06122020111532-0000,4
1758,frame111.jpg,head,5,608.5,853.0,0612-06122020111532-0000,4
1763,frame121.jpg,handle,5,641.0,613.5,0612-06122020111532-0000,4
1768,frame130.jpg,middle,5,598.0,735.5,0612-06122020111532-0000,4
1773,frame141.jpg,middle,5,557.0,728.5,0612-06122020111532-0000,4
1778,frame151.jpg,middle,5,507.0,706.0,0612-06122020111532-0000,4
1783,frame160.jpg,middle,5,464.0,668.0,0612-06122020111532-0000,4
1788,frame170.jpg,middle,5,426.5,606.0,0612-06122020111532-0000,4
1793,frame181.jpg,middle,5,419.5,529.5,0612-06122020111532-0000,4
1798,frame190.jpg,middle,5,434.0,472.0,0612-06122020111532-0000,4
1803,frame200.jpg,middle,5,466.5,425.5,0612-06122020111532-0000,4
1808,frame211.jpg,middle,5,513.0,386.5,0612-06122020111532-0000,4
1813,frame220.jpg,middle,5,557.0,366.5,0612-06122020111532-0000,4
1818,frame230.jpg,middle,5,596.5,362.0,0612-06122020111532-0000,4
1823,frame241.jpg,middle,5,631.5,369.5,0612-06122020111532-0000,4
1828,frame251.jpg,middle,5,654.0,380.0,0612-06122020111532-0000,4
1833,frame260.jpg,middle,5,666.5,392.0,0612-06122020111532-0000,4
1838,frame271.jpg,middle,5,663.5,404.0,0612-06122020111532-0000,4
1843,frame278.jpg,middle,5,659.0,405.0,0612-06122020111532-0000,4
1848,frame283.jpg,middle,5,657.0,404.5,0612-06122020111532-0000,4
1853,frame288.jpg,handle,5,559.0,405.0,0612-06122020111532-0000,4
1858,frame293.jpg,middle,5,636.5,392.5,0612-06122020111532-0000,4
1863,frame298.jpg,middle,5,614.5,389.5,0612-06122020111532-0000,4
