,filename,width,height,class,xmin,ymin,xmax,ymax
151,0612-06122020111211-0000_frame41.jpg,1280,1024,1,363,706,392,725
152,0612-06122020111211-0000_frame56.jpg,1280,1024,1,331,647,361,662
154,0612-06122020111211-0000_frame90.jpg,1280,1024,1,326,584,354,598
155,0612-06122020111211-0000_frame45.jpg,1280,1024,1,352,690,380,707
156,0612-06122020111211-0000_frame8.jpg,1280,1024,1,510,801,528,828
157,0612-06122020111211-0000_frame113.jpg,1280,1024,1,362,669,391,686
158,0612-06122020111211-0000_frame80.jpg,1280,1024,1,323,588,349,601
159,0612-06122020111211-0000_frame43.jpg,1280,1024,1,357,698,387,717
160,0612-06122020111211-0000_frame78.jpg,1280,1024,1,321,588,349,604
161,0612-06122020111211-0000_frame103.jpg,1280,1024,1,336,616,363,630
162,0612-06122020111211-0000_frame89.jpg,1280,1024,1,325,584,350,601
163,0612-06122020111211-0000_frame59.jpg,1280,1024,1,327,635,357,651
164,0612-06122020111211-0000_frame44.jpg,1280,1024,1,355,694,384,712
165,0612-06122020111211-0000_frame101.jpg,1280,1024,1,335,607,363,623
166,0612-06122020111211-0000_frame124.jpg,1280,1024,1,453,767,475,787
167,0612-06122020111211-0000_frame105.jpg,1280,1024,1,340,622,368,638
168,0612-06122020111211-0000_frame60.jpg,1280,1024,1,327,632,355,647
169,0612-06122020111211-0000_frame25.jpg,1280,1024,1,426,765,447,789
171,0612-06122020111211-0000_frame30.jpg,1280,1024,1,403,747,431,770
172,0612-06122020111211-0000_frame58.jpg,1280,1024,1,330,639,357,655
173,0612-06122020111211-0000_frame76.jpg,1280,1024,1,320,592,348,606
174,0612-06122020111257-0000_frame139.jpg,1280,1024,1,346,743,377,764
175,0612-06122020111257-0000_frame150.jpg,1280,1024,1,334,727,366,747
176,0612-06122020111257-0000_frame191.jpg,1280,1024,1,334,721,366,740
177,0612-06122020111257-0000_frame93.jpg,1280,1024,1,512,834,529,864
178,0612-06122020111257-0000_frame134.jpg,1280,1024,1,354,752,385,774
179,0612-06122020111257-0000_frame126.jpg,1280,1024,1,372,772,402,796
181,0612-06122020111257-0000_frame142.jpg,1280,1024,1,342,738,373,759
182,0612-06122020111257-0000_frame158.jpg,1280,1024,1,328,719,359,737
184,0612-06122020111257-0000_frame162.jpg,1280,1024,1,325,714,357,732
185,0612-06122020111257-0000_frame174.jpg,1280,1024,1,318,701,349,717
186,0612-06122020111257-0000_frame114.jpg,1280,1024,1,415,802,445,831
187,0612-06122020111257-0000_frame152.jpg,1280,1024,1,332,723,365,744
188,0612-06122020111257-0000_frame80.jpg,1280,1024,1,553,838,566,867
190,0612-06122020111257-0000_frame79.jpg,1280,1024,1,554,837,569,867
191,0612-06122020111257-0000_frame84.jpg,1280,1024,1,543,836,557,865
192,0612-06122020111257-0000_frame74.jpg,1280,1024,1,565,837,577,864
193,0612-06122020111257-0000_frame104.jpg,1280,1024,1,464,823,485,851
194,0612-06122020111257-0000_frame143.jpg,1280,1024,1,341,737,372,757
195,0612-06122020111257-0000_frame88.jpg,1280,1024,1,530,835,545,865
196,0612-06122020111257-0000_frame102.jpg,1280,1024,1,473,825,495,857
197,0612-06122020111257-0000_frame184.jpg,1280,1024,1,321,702,352,719
198,0612-06122020111257-0000_frame110.jpg,1280,1024,1,436,811,459,839
199,0612-06122020111257-0000_frame186.jpg,1280,1024,1,324,705,356,723
200,0612-06122020111257-0000_frame195.jpg,1280,1024,1,352,740,382,762
203,0612-06122020111257-0000_frame155.jpg,1280,1024,1,331,721,363,740
204,0612-06122020111257-0000_frame111.jpg,1280,1024,1,432,809,455,837
205,0612-06122020111257-0000_frame85.jpg,1280,1024,1,540,840,552,866
206,0612-06122020111257-0000_frame115.jpg,1280,1024,1,411,800,439,829
207,0612-06122020111257-0000_frame76.jpg,1280,1024,1,561,837,573,864
208,0612-06122020111257-0000_frame151.jpg,1280,1024,1,333,726,365,746
209,0612-06122020111257-0000_frame95.jpg,1280,1024,1,504,832,522,865
210,0612-06122020111257-0000_frame141.jpg,1280,1024,1,342,739,375,759
211,0612-06122020111257-0000_frame165.jpg,1280,1024,1,323,710,355,728
212,0612-06122020111257-0000_frame94.jpg,1280,1024,1,508,833,525,862
213,0612-06122020111257-0000_frame89.jpg,1280,1024,1,526,836,542,865
214,0612-06122020111257-0000_frame188.jpg,1280,1024,1,327,712,359,728
215,0612-06122020111257-0000_frame117.jpg,1280,1024,1,403,795,431,823
217,0612-06122020111257-0000_frame177.jpg,1280,1024,1,317,699,349,716
218,0612-06122020111257-0000_frame98.jpg,1280,1024,1,491,830,511,859
220,0612-06122020111257-0000_frame157.jpg,1280,1024,1,329,719,361,738
221,0612-06122020111257-0000_frame170.jpg,1280,1024,1,319,703,351,721
222,0612-06122020111257-0000_frame97.jpg,1280,1024,1,495,831,514,860
223,0612-06122020111257-0000_frame100.jpg,1280,1024,1,483,828,502,857
224,0612-06122020111257-0000_frame96.jpg,1280,1024,1,500,833,517,862
225,0612-06122020111257-0000_frame112.jpg,1280,1024,1,428,807,451,835
226,0612-06122020111257-0000_frame193.jpg,1280,1024,1,342,730,373,749
227,0612-06122020111257-0000_frame70.jpg,1280,1024,1,571,836,583,864
228,0612-06122020111257-0000_frame197.jpg,1280,1024,1,362,753,393,774
229,0612-06122020111257-0000_frame124.jpg,1280,1024,1,379,777,407,801
230,0612-06122020111257-0000_frame156.jpg,1280,1024,1,330,720,361,738
231,0612-06122020111257-0000_frame132.jpg,1280,1024,1,357,757,389,779
232,0612-06122020111257-0000_frame78.jpg,1280,1024,1,557,843,569,866
233,0612-06122020111257-0000_frame194.jpg,1280,1024,1,346,735,377,756
234,0612-06122020111257-0000_frame99.jpg,1280,1024,1,487,829,507,858
235,0612-06122020111257-0000_frame123.jpg,1280,1024,1,382,779,411,805
236,0612-06122020111257-0000_frame119.jpg,1280,1024,1,395,789,426,817
237,0612-06122020111257-0000_frame145.jpg,1280,1024,1,338,733,371,753
238,0612-06122020111257-0000_frame131.jpg,1280,1024,1,359,759,392,782
240,0612-06122020111257-0000_frame103.jpg,1280,1024,1,469,824,491,855
241,0612-06122020111257-0000_frame118.jpg,1280,1024,1,399,792,428,820
242,0612-06122020111257-0000_frame160.jpg,1280,1024,1,327,716,358,734
243,0612-06122020111257-0000_frame148.jpg,1280,1024,1,336,729,367,750
244,0612-06122020111257-0000_frame107.jpg,1280,1024,1,447,818,472,847
245,0612-06122020111257-0000_frame72.jpg,1280,1024,1,567,837,581,869
246,0612-06122020111257-0000_frame179.jpg,1280,1024,1,318,698,349,716
247,0612-06122020111257-0000_frame137.jpg,1280,1024,1,349,747,379,768
248,0612-06122020111257-0000_frame105.jpg,1280,1024,1,460,821,481,849
249,0612-06122020111257-0000_frame136.jpg,1280,1024,1,351,748,381,770
251,0612-06122020111257-0000_frame147.jpg,1280,1024,1,336,730,369,751
252,0612-06122020111257-0000_frame121.jpg,1280,1024,1,387,785,417,811
254,0612-06122020111257-0000_frame159.jpg,1280,1024,1,327,716,358,736
255,0612-06122020111257-0000_frame163.jpg,1280,1024,1,324,712,357,730
256,0612-06122020111257-0000_frame122.jpg,1280,1024,1,384,784,409,807
257,0612-06122020111257-0000_frame87.jpg,1280,1024,1,534,837,548,866
259,0612-06122020111257-0000_frame92.jpg,1280,1024,1,517,835,532,865
260,0612-06122020111257-0000_frame120.jpg,1280,1024,1,391,786,422,813
261,0612-06122020111257-0000_frame135.jpg,1280,1024,1,352,751,383,772
262,0612-06122020111333-0000_frame137.jpg,1280,1024,1,423,808,444,834
263,0612-06122020111333-0000_frame115.jpg,1280,1024,1,541,840,556,872
264,0612-06122020111333-0000_frame23.jpg,1280,1024,1,481,823,500,852
265,0612-06122020111333-0000_frame25.jpg,1280,1024,1,481,823,502,852
266,0612-06122020111333-0000_frame91.jpg,1280,1024,1,560,839,573,871
267,0612-06122020111333-0000_frame185.jpg,1280,1024,1,298,539,327,557
268,0612-06122020111333-0000_frame19.jpg,1280,1024,1,478,822,499,851
269,0612-06122020111333-0000_frame1.jpg,1280,1024,1,483,824,503,854
270,0612-06122020111333-0000_frame17.jpg,1280,1024,1,477,822,498,850
271,0612-06122020111333-0000_frame27.jpg,1280,1024,1,484,823,503,852
272,0612-06122020111333-0000_frame11.jpg,1280,1024,1,478,822,497,849
273,0612-06122020111333-0000_frame67.jpg,1280,1024,1,537,838,550,866
274,0612-06122020111333-0000_frame63.jpg,1280,1024,1,531,836,547,868
275,0612-06122020111333-0000_frame79.jpg,1280,1024,1,551,839,564,868
276,0612-06122020111333-0000_frame109.jpg,1280,1024,1,555,841,569,874
277,0612-06122020111333-0000_frame181.jpg,1280,1024,1,296,553,325,569
279,0612-06122020111333-0000_frame85.jpg,1280,1024,1,555,840,570,873
280,0612-06122020111333-0000_frame135.jpg,1280,1024,1,433,815,459,844
281,0612-06122020111333-0000_frame155.jpg,1280,1024,1,311,706,345,725
282,0612-06122020111333-0000_frame81.jpg,1280,1024,1,553,839,567,868
283,0612-06122020111333-0000_frame195.jpg,1280,1024,1,311,519,335,536
284,0612-06122020111333-0000_frame111.jpg,1280,1024,1,549,840,566,871
285,0612-06122020111333-0000_frame39.jpg,1280,1024,1,495,828,515,858
286,0612-06122020111333-0000_frame29.jpg,1280,1024,1,485,825,504,854
287,0612-06122020111333-0000_frame205.jpg,1280,1024,1,314,517,341,536
288,0612-06122020111333-0000_frame89.jpg,1280,1024,1,560,839,573,870
289,0612-06122020111333-0000_frame125.jpg,1280,1024,1,497,835,517,866
290,0612-06122020111333-0000_frame141.jpg,1280,1024,1,390,791,419,819
292,0612-06122020111333-0000_frame13.jpg,1280,1024,1,477,821,497,851
293,0612-06122020111333-0000_frame167.jpg,1280,1024,1,288,623,321,638
294,0612-06122020111333-0000_frame47.jpg,1280,1024,1,506,831,523,858
295,0612-06122020111333-0000_frame37.jpg,1280,1024,1,492,827,512,858
296,0612-06122020111333-0000_frame187.jpg,1280,1024,1,301,535,329,549
297,0612-06122020111333-0000_frame93.jpg,1280,1024,1,560,841,573,869
298,0612-06122020111333-0000_frame165.jpg,1280,1024,1,290,636,323,651
299,0612-06122020111333-0000_frame203.jpg,1280,1024,1,314,516,338,534
300,0612-06122020111333-0000_frame55.jpg,1280,1024,1,518,833,537,866
301,0612-06122020111333-0000_frame197.jpg,1280,1024,1,311,516,337,534
302,0612-06122020111333-0000_frame171.jpg,1280,1024,1,288,599,319,614
304,0612-06122020111333-0000_frame59.jpg,1280,1024,1,525,835,540,863
305,0612-06122020111333-0000_frame51.jpg,1280,1024,1,512,833,529,863
306,0612-06122020111333-0000_frame83.jpg,1280,1024,1,555,839,568,870
307,0612-06122020111333-0000_frame191.jpg,1280,1024,1,307,525,334,543
308,0612-06122020111333-0000_frame7.jpg,1280,1024,1,479,823,499,854
309,0612-06122020111333-0000_frame107.jpg,1280,1024,1,558,840,571,870
310,0612-06122020111333-0000_frame201.jpg,1280,1024,1,314,515,337,531
311,0612-06122020111333-0000_frame169.jpg,1280,1024,1,287,612,319,625
312,0612-06122020111333-0000_frame123.jpg,1280,1024,1,510,837,525,868
313,0612-06122020111333-0000_frame15.jpg,1280,1024,1,477,822,496,851
314,0612-06122020111333-0000_frame193.jpg,1280,1024,1,310,521,334,537
315,0612-06122020111333-0000_frame57.jpg,1280,1024,1,522,833,539,865
316,0612-06122020111333-0000_frame105.jpg,1280,1024,1,560,841,573,871
317,0612-06122020111333-0000_frame97.jpg,1280,1024,1,562,841,575,870
318,0612-06122020111333-0000_frame147.jpg,1280,1024,1,351,759,382,783
319,0612-06122020111333-0000_frame121.jpg,1280,1024,1,519,838,534,866
320,0612-06122020111333-0000_frame149.jpg,1280,1024,1,339,747,370,769
321,0612-06122020111333-0000_frame65.jpg,1280,1024,1,534,837,549,867
322,0612-06122020111333-0000_frame95.jpg,1280,1024,1,563,840,575,870
323,0612-06122020111333-0000_frame177.jpg,1280,1024,1,290,568,321,586
325,0612-06122020111333-0000_frame73.jpg,1280,1024,1,544,837,559,869
326,0612-06122020111333-0000_frame9.jpg,1280,1024,1,477,823,499,853
327,0612-06122020111333-0000_frame199.jpg,1280,1024,1,313,516,337,532
329,0612-06122020111333-0000_frame131.jpg,1280,1024,1,463,825,483,853
330,0612-06122020111333-0000_frame179.jpg,1280,1024,1,293,561,323,576
331,0612-06122020111333-0000_frame151.jpg,1280,1024,1,329,733,361,755
332,0612-06122020111333-0000_frame101.jpg,1280,1024,1,563,839,575,870
333,0612-06122020111333-0000_frame71.jpg,1280,1024,1,542,839,554,867
334,0612-06122020111333-0000_frame175.jpg,1280,1024,1,290,578,321,595
335,0612-06122020111333-0000_frame61.jpg,1280,1024,1,529,835,543,863
336,0612-06122020111333-0000_frame133.jpg,1280,1024,1,448,819,471,850
338,0612-06122020111333-0000_frame119.jpg,1280,1024,1,526,839,543,871
339,0612-06122020111333-0000_frame35.jpg,1280,1024,1,489,826,509,855
340,0612-06122020111333-0000_frame103.jpg,1280,1024,1,561,841,574,872
341,0612-06122020111333-0000_frame33.jpg,1280,1024,1,487,825,508,856
342,0612-06122020111333-0000_frame117.jpg,1280,1024,1,532,840,549,872
343,0612-06122020111333-0000_frame43.jpg,1280,1024,1,500,829,518,856
344,0612-06122020111333-0000_frame99.jpg,1280,1024,1,562,839,575,870
345,0612-06122020111333-0000_frame129.jpg,1280,1024,1,475,829,495,860
346,0612-06122020111532-0000_frame292.jpg,1280,1024,1,721,384,735,401
347,0612-06122020111532-0000_frame309.jpg,1280,1024,1,508,350,527,364
348,0612-06122020111532-0000_frame251.jpg,1280,1024,1,734,374,748,384
349,0612-06122020111532-0000_frame224.jpg,1280,1024,1,623,310,641,321
350,0612-06122020111532-0000_frame156.jpg,1280,1024,1,351,747,385,769
351,0612-06122020111532-0000_frame243.jpg,1280,1024,1,712,350,731,365
352,0612-06122020111532-0000_frame134.jpg,1280,1024,1,530,838,543,867
353,0612-06122020111532-0000_frame117.jpg,1280,1024,1,597,841,605,870
354,0612-06122020111532-0000_frame132.jpg,1280,1024,1,541,839,554,871
355,0612-06122020111532-0000_frame143.jpg,1280,1024,1,463,819,486,850
356,0612-06122020111532-0000_frame126.jpg,1280,1024,1,570,841,581,870
357,0612-06122020111532-0000_frame183.jpg,1280,1024,1,332,455,345,478
358,0612-06122020111532-0000_frame179.jpg,1280,1024,1,302,494,328,515
359,0612-06122020111532-0000_frame319.jpg,1280,1024,1,403,730,432,752
360,0612-06122020111532-0000_frame194.jpg,1280,1024,1,399,370,413,393
361,0612-06122020111532-0000_frame113.jpg,1280,1024,1,602,840,611,869
362,0612-06122020111532-0000_frame230.jpg,1280,1024,1,658,318,675,332
363,0612-06122020111532-0000_frame200.jpg,1280,1024,1,447,337,460,362
364,0612-06122020111532-0000_frame302.jpg,1280,1024,1,645,337,663,351
365,0612-06122020111532-0000_frame301.jpg,1280,1024,1,657,340,676,357
366,0612-06122020111532-0000_frame196.jpg,1280,1024,1,414,359,428,381
367,0612-06122020111532-0000_frame155.jpg,1280,1024,1,358,757,390,779
368,0612-06122020111532-0000_frame145.jpg,1280,1024,1,446,813,467,841
369,0612-06122020111532-0000_frame304.jpg,1280,1024,1,614,332,634,347
370,0612-06122020111532-0000_frame293.jpg,1280,1024,1,718,380,735,399
371,0612-06122020111532-0000_frame205.jpg,1280,1024,1,486,323,501,342
372,0612-06122020111532-0000_frame128.jpg,1280,1024,1,563,841,573,868
373,0612-06122020111532-0000_frame303.jpg,1280,1024,1,630,331,649,349
375,0612-06122020111532-0000_frame162.jpg,1280,1024,1,311,688,347,707
376,0612-06122020111532-0000_frame153.jpg,1280,1024,1,376,771,407,796
377,0612-06122020111532-0000_frame321.jpg,1280,1024,1,511,818,538,848
378,0612-06122020111532-0000_frame209.jpg,1280,1024,1,515,312,533,331
379,0612-06122020111532-0000_frame310.jpg,1280,1024,1,481,365,503,383
380,0612-06122020111532-0000_frame316.jpg,1280,1024,1,348,576,365,587
381,0612-06122020111532-0000_frame317.jpg,1280,1024,1,359,612,384,637
382,0612-06122020111532-0000_frame170.jpg,1280,1024,1,286,595,321,615
383,0612-06122020111532-0000_frame115.jpg,1280,1024,1,600,839,610,870
384,0612-06122020111532-0000_frame168.jpg,1280,1024,1,289,619,323,637
385,0612-06122020111532-0000_frame175.jpg,1280,1024,1,289,537,319,560
386,0612-06122020111532-0000_frame166.jpg,1280,1024,1,294,643,328,661
387,0612-06122020111532-0000_frame198.jpg,1280,1024,1,431,347,445,371
388,0612-06122020111532-0000_frame123.jpg,1280,1024,1,582,841,591,868
390,0612-06122020111532-0000_frame222.jpg,1280,1024,1,611,307,628,320
391,0612-06122020111532-0000_frame290.jpg,1280,1024,1,725,395,739,410
392,0612-06122020111532-0000_frame308.jpg,1280,1024,1,532,342,551,356
393,0612-06122020111532-0000_frame239.jpg,1280,1024,1,699,339,717,349
394,0612-06122020111532-0000_frame130.jpg,1280,1024,1,552,840,564,873
395,0612-06122020111532-0000_frame111.jpg,1280,1024,1,604,839,613,867
396,0612-06122020111532-0000_frame173.jpg,1280,1024,1,287,561,319,582
397,0612-06122020111532-0000_frame220.jpg,1280,1024,1,597,306,615,319
